case_id,week,popwght,state,nielsen,metro,region,division,ownhome,mstatus,emply,hhcomp,adults,adultm,adultf,kids1217,kids611,kids06,di22a1,di22a2,di22a3,di22a4,di22a5,di22b1,di22b2,di22b3,di22b4,di22b5,di22c1,di22c2,di22c3,di22c4,di22c5,parent,age,age2,educ,income,race,affilrot,polaffil,d3rot,d3_a,regvote,othtel,sex,reli1,ident,l1,c1,c1a,qnco1,qnco3,partycbs,pphl3,age30,age50,age65,age5,degree,income3,income10,married,parents,cbsrace,cbsreli6,cbsreli2,cbschris,sumo1,sumo2,su3rot,sumo3,su4rot,sumo4,su5rot,sumo5,sumo6,sumo9,sumo7,su8rot,sumo8,sumo10,sumo11,su12rot,sumo12,su13rot,sumo13
10000002,803,.7633,MA,A,Center City (Metro),North East,New England,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,74, ,Graduate school or more,Refused,White Non-Hispanic,Male Republican/Democrat,An Independent,d3 1-5 asked,Very liberal,Yes,None,Female,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Liberal,30+,50+,65+,65+,Post grad,Don't know/no answer,Don't know/no answer,Married,No,White,Jewish,Religious,No,Wouldn't matter much,Rarely,too many/too few,Too many,big/small,Big screen,at home/in theater,More at home,Quality of work,Will watch,"No, won't eat pizza",43215,Mushrooms,Yes,Yes,men/women,Women more romantic,quality/size,Quality
10000003,803,.7677,FL,B,Surburban (Metro),South,South Atlantic,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,71, ,Graduated college,"$50,000 but less than $75,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 5-1 asked,Very conservative,Yes,None,Male,Baptist,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,30+,50+,65+,65+,College,$50k but under $100k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Right amount,small/big,Big screen,in theater/at home,More at home,Quality of work,Won't watch, ,23451,Pepperoni,Yes,Yes,women/men,Women more romantic,quality/size,Quality
10000004,803,.8642,MD,A,Surburban (Metro),South,South Atlantic,Owned,"Single, that is never married",Full-time,Four,Four,One,Three, , , , , , , , , , , , , , , , , , , ,57, ,Graduate school or more,"$200,000 to under $250,000",White Non-Hispanic,Male Republican/Democrat,A Democrat,d3 1-5 asked,Moderate,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,18-64,55-64,Post grad,$100k+,$100k+,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,small/big,Small screen,at home/in theater,More at home,Prejudice played a role,Will watch,Don't know/no answer,34152,Onions,Yes,No,men/women,Women more romantic,quality/size,Quality
10000005,803,.3304,MD,A,Surburban (Metro),South,South Atlantic,Rented,Widowed,Temporarily unemployed,One,One,None,One, , , , , , , , , , , , , , , , , , , ,69, ,Graduate school or more,"$75,000 but less than $100,000",White Non-Hispanic,Male Republican/Democrat,A Democrat,d3 5-1 asked,Somewhat liberal,Yes,None,Female,Unitarian/Universalist,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Liberal,30+,50+,65+,65+,Post grad,$50k but under $100k,Under $100k,Not married,No,White,Other,Religious,No,Less likely,Sometimes,too many/too few,Don't know/no answer,small/big,Big screen,at home/in theater,More at home,Don't know/no answer,Will watch,"Yes, will eat pizza",13245,Onions,Yes,Yes,men/women,Women more romantic,quality/size,Quality
10000007,803,.2608,IN,C,Center City County (Metro),North Central,East North Central,Rented,Divorced,Disabled/Handicapped,One,One,None,One, , , , , , , , , , , , , , , , , , , ,57, ,High school graduate,"Less than $15,000",Unspecified Hispanic,Male Republican/Democrat,A Democrat,d3 5-1 asked,Somewhat conservative,Yes,None,Female,"Pentecostal (Assemblies of God, Four-Square Gospel)",Landline,No, , ,United States, ,Democrats,Conservative,30+,50+,18-64,55-64,No degree,Under $50k,Under $100k,Not married,No,Other/Mixed,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Don't know/no answer,small/big,Big screen,at home/in theater,Don't know/no answer,Don't know/no answer,Won't watch, ,41235,Mushrooms,Yes,No,women/men,Women more romantic,size/quality,Quality
10000008,803,.4988,FL,B,Center City (Metro),South,South Atlantic,Rented,"Single, that is never married",Homemaker,Three,One,None,One,None,One,One, , , , , ,7, , , , ,5, , , , ,Yes,28, ,High school graduate,"$15,000 but less than $25,000",Black Non-Hispanic,Male Democrat/Republican,An Independent,d3 1-5 asked,Very liberal,No,None,Female,Christian (Just Christian),Landline,No, , , , ,Independents,Liberal,18-29,18-49,18-64,18-34,No degree,Under $50k,Under $100k,Not married,Yes,Black,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,small/big,Small screen,in theater/at home,More at home,Quality of work,Will watch,"No, won't eat pizza",52134,Don't know/no answer,No,Yes,men/women,Women more romantic,size/quality,Quality
10000009,803,1.8425,GA,D,Non-Metro,South,South Atlantic,Owned,Married,Full-time,Five,Two,One,One,None,None,Three, , , , , , , , , , ,3,3,5, , ,Yes,37, ,Graduate school or more,"$75,000 but less than $100,000",White Non-Hispanic,Male Republican/Democrat,A Republican,d3 1-5 asked,Somewhat conservative,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,30+,18-49,18-64,35-44,Post grad,$50k but under $100k,Under $100k,Married,Yes,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Too many,big/small,Small screen,in theater/at home,More at home,Quality of work,Won't watch, ,24135,Pepperoni,Yes,Yes,women/men,Women more romantic,quality/size,Quality
10000011,803,.3489,NY,B,Center City (Metro),North East,Mid Atlantic,Rented,"Single, that is never married",Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,67, ,Refused,Refused,White Non-Hispanic,Male Democrat/Republican,A Republican,d3 1-5 asked,Somewhat liberal,Yes,None,Female,Atheist,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Liberal,30+,50+,65+,65+,Don't know/no answer,Don't know/no answer,Don't know/no answer,Not married,No,White,None,Non-religious,No,Wouldn't matter much,Sometimes,too many/too few,Too many,big/small,Small screen,in theater/at home,More at home,Don't know/no answer,Won't watch, ,21543,Don't know/no answer,No,Yes,women/men,No difference,size/quality,Quality
10000012,803,.2767,CO,B,Center City (Metro),West,Mountain,Owned,Divorced,Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,82, ,High school graduate,"$15,000 but less than $25,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Very conservative,Yes,None,Female,Nothing in particular,Landline,No, , , , ,Independents,Conservative,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,White,None,Non-religious,No,Wouldn't matter much,Don't know/no answer,too many/too few,Too many,small/big,Small screen,in theater/at home,More at home,Prejudice played a role,Won't watch, ,23154,Mushrooms,No,Yes,men/women,Don't know/no answer,size/quality,Quality
10000013,803,1.0598,MI,A,Surburban (Metro),North Central,East North Central,Rented,Married,Disabled/Handicapped,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,56, ,High school graduate,"$15,000 but less than $25,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Moderate,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Moderate,30+,50+,18-64,55-64,No degree,Under $50k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Right amount,small/big,Small screen,at home/in theater,Same amount,Prejudice played a role,Won't watch, ,12543,Mushrooms,Yes,Yes,women/men,Women more romantic,quality/size,Quality
