popwght,state,nielsen,region,division,ownhome,mstatus,emply,age,age2,educ,income,d3_a,sex,sumo8
0.7633,MA,A,North East,New England,Owned,Married,Retired,74, ,Graduate school or more,Refused,Very liberal,Female,Mushrooms
0.7677,FL,B,South,South Atlantic,Owned,Married,Retired,71, ,Graduated college,"$50,000 but less than $75,000",Very conservative,Male,Pepperoni
0.8642,MD,A,South,South Atlantic,Owned,"Single, that is never married",Full-time,57, ,Graduate school or more,"$200,000 to under $250,000",Moderate,Female,Onions
0.3304,MD,A,South,South Atlantic,Rented,Widowed,Temporarily unemployed,69, ,Graduate school or more,"$75,000 but less than $100,000",Somewhat liberal,Female,Onions
0.2608,IN,C,North Central,East North Central,Rented,Divorced,Disabled/Handicapped,57, ,High school graduate,"Less than $15,000",Somewhat conservative,Female,Mushrooms
0.4988,FL,B,South,South Atlantic,Rented,"Single, that is never married",Homemaker,28, ,High school graduate,"$15,000 but less than $25,000",Very liberal,Female,Don't know/no answer
1.8425,GA,D,South,South Atlantic,Owned,Married,Full-time,37, ,Graduate school or more,"$75,000 but less than $100,000",Somewhat conservative,Female,Pepperoni
0.3489,NY,B,North East,Mid Atlantic,Rented,"Single, that is never married",Retired,67, ,Refused,Refused,Somewhat liberal,Female,Don't know/no answer
0.2767,CO,B,West,Mountain,Owned,Divorced,Retired,82, ,High school graduate,"$15,000 but less than $25,000",Very conservative,Female,Mushrooms
1.0598,MI,A,North Central,East North Central,Rented,Married,Disabled/Handicapped,56, ,High school graduate,"$15,000 but less than $25,000",Moderate,Female,Mushrooms
0.3955,CO,D,West,Mountain,Owned,Refused,Refused,Refused,50-64,Refused,Refused,Don't know,Male,Pepperoni
0.9339,SD,D,North Central,West North Central,Owned,Married,Retired,Refused,65+,Less than high school graduate,"$100,000 to under $150,000",Moderate,Male,Sausage
0.6772,PA,C,North East,Mid Atlantic,Owned,Married,Part-time,Refused,50-64,Graduate school or more,Refused,Somewhat conservative,Female,Sausage
0.25,UT,B,West,Mountain,Owned,Divorced,Full-time,67, ,Some college,"$50,000 but less than $75,000",Moderate,Female,Pepperoni
0.5333,IN,A,North Central,East North Central,Owned,Married,Full-time,72, ,High school graduate,Refused,Somewhat conservative,Female,Sausage
0.8996,TX,A,South,West South Central,Owned,"Single, living with a partner",Full-time,46, ,High school graduate,"$40,000 but less than $50,000",Moderate,Male,Sausage
1.5865,AR,D,South,West South Central,Rented,"Single, that is never married",Full-time,38, ,High school graduate,"$50,000 but less than $75,000",Moderate,Female,Sausage
0.8711,VT,C,North East,New England,Rented,Married,Retired,73, ,High school graduate,"$30,000 but less than $40,000",Very conservative,Male,Pepperoni
0.4315,NJ,A,North East,Mid Atlantic,Owned,Divorced,Full-time,60, ,Graduate school or more,"$100,000 to under $150,000",Moderate,Male,Pepperoni
0.9625,WY,D,West,Mountain,Owned,Married,Homemaker,55, ,Graduated college,Refused,Somewhat conservative,Female,Pepperoni
0.4366,IN,B,North Central,East North Central,Owned,Divorced,Retired,80, ,Technical school/other,"$15,000 but less than $25,000",Moderate,Female,Sausage
0.9081,CO,D,West,Mountain,Owned,Married,Homemaker,58, ,High school graduate,Refused,Somewhat conservative,Female,Pepperoni
0.2599,NY,B,North East,Mid Atlantic,Owned,"Single, that is never married",Retired,83, ,Some college,"$15,000 but less than $25,000",Somewhat conservative,Male,Pepperoni
0.42,MI,D,North Central,East North Central,Owned,Married,Retired,79, ,Some college,"$40,000 but less than $50,000",Moderate,Female,Pepperoni
0.7851,IN,D,North Central,East North Central,Rented,Married,Retired,90, ,Less than high school graduate,"$50,000 but less than $100,000 (Unspecified)",Moderate,Female,Pepperoni
0.2916,CA,A,West,Pacific,Owned,Widowed,Retired,72, ,Some college,"$25,000 but less than $30,000",Moderate,Male,Sausage
1.6543,NJ,A,North East,Mid Atlantic,Owned,Married,Full-time,44, ,Graduated college,"$150,000 to under $200,000",Somewhat liberal,Male,Mushrooms
